id,curriculo_id,disciplina_id,natureza_disciplina_id,created_at,updated_at
153,4,2256,1,2024-11-12 20:04:11.992590,2024-11-12 20:04:11.992596
154,4,2257,1,2024-11-12 20:04:11.996262,2024-11-12 20:04:11.996269
155,4,2279,1,2024-11-12 20:04:12.000300,2024-11-12 20:04:12.000306
156,4,2280,1,2024-11-12 20:04:12.003911,2024-11-12 20:04:12.003917
157,4,2281,1,2024-11-12 20:04:12.008013,2024-11-12 20:04:12.008020
158,4,2282,1,2024-11-12 20:04:12.011622,2024-11-12 20:04:12.011628
159,4,2283,1,2024-11-12 20:04:12.015542,2024-11-12 20:04:12.015548
160,4,2290,1,2024-11-12 20:04:12.019266,2024-11-12 20:04:12.019272
161,4,2292,1,2024-11-12 20:04:12.023818,2024-11-12 20:04:12.023828
162,4,2294,1,2024-11-12 20:04:12.029370,2024-11-12 20:04:12.029383
163,4,2295,1,2024-11-12 20:04:12.034790,2024-11-12 20:04:12.034799
164,4,2297,1,2024-11-12 20:04:12.040049,2024-11-12 20:04:12.040058
165,4,2299,1,2024-11-12 20:04:12.045813,2024-11-12 20:04:12.045825
166,4,2308,1,2024-11-12 20:04:12.051708,2024-11-12 20:04:12.051720
167,4,2311,1,2024-11-12 20:04:12.057522,2024-11-12 20:04:12.057533
168,4,13117,2,2024-11-12 20:04:12.062942,2024-11-12 20:04:12.062955
169,4,2240,2,2024-11-12 20:04:12.069325,2024-11-12 20:04:12.069336
170,4,2241,2,2024-11-12 20:04:12.074142,2024-11-12 20:04:12.074154
171,4,13120,2,2024-11-12 20:04:12.080634,2024-11-12 20:04:12.080647
172,4,13121,2,2024-11-12 20:04:12.087824,2024-11-12 20:04:12.087836
173,4,13122,2,2024-11-12 20:04:12.093548,2024-11-12 20:04:12.093559
174,4,2242,2,2024-11-12 20:04:12.099712,2024-11-12 20:04:12.099729
175,4,13124,2,2024-11-12 20:04:12.107249,2024-11-12 20:04:12.107260
176,4,2243,2,2024-11-12 20:04:12.112938,2024-11-12 20:04:12.112954
177,4,2244,2,2024-11-12 20:04:12.119374,2024-11-12 20:04:12.119388
178,4,13127,2,2024-11-12 20:04:12.127800,2024-11-12 20:04:12.127821
179,4,13128,2,2024-11-12 20:04:12.135023,2024-11-12 20:04:12.135033
180,4,2245,2,2024-11-12 20:04:12.139488,2024-11-12 20:04:12.139497
181,4,13130,2,2024-11-12 20:04:12.145309,2024-11-12 20:04:12.145319
182,4,13131,2,2024-11-12 20:04:12.150224,2024-11-12 20:04:12.150232
183,4,13132,2,2024-11-12 20:04:12.156093,2024-11-12 20:04:12.156102
184,4,13133,2,2024-11-12 20:04:12.161003,2024-11-12 20:04:12.161013
185,4,13134,2,2024-11-12 20:04:12.166492,2024-11-12 20:04:12.166502
186,4,13135,2,2024-11-12 20:04:12.170975,2024-11-12 20:04:12.170983
187,4,13136,2,2024-11-12 20:04:12.175652,2024-11-12 20:04:12.175660
188,4,13137,2,2024-11-12 20:04:12.179691,2024-11-12 20:04:12.179698
189,4,13138,2,2024-11-12 20:04:12.183745,2024-11-12 20:04:12.183751
190,4,2246,2,2024-11-12 20:04:12.187534,2024-11-12 20:04:12.187541
191,4,2247,2,2024-11-12 20:04:12.191240,2024-11-12 20:04:12.191246
192,4,2248,2,2024-11-12 20:04:12.195290,2024-11-12 20:04:12.195296
193,4,13142,2,2024-11-12 20:04:12.198921,2024-11-12 20:04:12.198927
194,4,13143,2,2024-11-12 20:04:12.202918,2024-11-12 20:04:12.202924
195,4,13144,2,2024-11-12 20:04:12.206592,2024-11-12 20:04:12.206598
196,4,13145,2,2024-11-12 20:04:12.210219,2024-11-12 20:04:12.210509
197,4,13146,2,2024-11-12 20:04:12.214308,2024-11-12 20:04:12.214314
198,4,13147,2,2024-11-12 20:04:12.217954,2024-11-12 20:04:12.217961
199,4,2273,2,2024-11-12 20:04:12.222035,2024-11-12 20:04:12.222042
200,4,2274,2,2024-11-12 20:04:12.225807,2024-11-12 20:04:12.225814
201,4,13175,2,2024-11-12 20:04:12.229514,2024-11-12 20:04:12.229520
202,4,2275,2,2024-11-12 20:04:12.233502,2024-11-12 20:04:12.233508
203,4,2276,2,2024-11-12 20:04:12.237102,2024-11-12 20:04:12.237108
204,4,13178,2,2024-11-12 20:04:12.241077,2024-11-12 20:04:12.241083
205,4,13190,2,2024-11-12 20:04:12.244716,2024-11-12 20:04:12.244722
206,4,2284,2,2024-11-12 20:04:12.248602,2024-11-12 20:04:12.248608
207,4,2285,2,2024-11-12 20:04:12.252326,2024-11-12 20:04:12.252332
208,4,2286,2,2024-11-12 20:04:12.255884,2024-11-12 20:04:12.255890
209,4,2287,2,2024-11-12 20:04:12.259904,2024-11-12 20:04:12.259910
210,4,13195,2,2024-11-12 20:04:12.263607,2024-11-12 20:04:12.263613
211,4,13196,2,2024-11-12 20:04:12.267474,2024-11-12 20:04:12.267480
212,4,13197,2,2024-11-12 20:04:12.271126,2024-11-12 20:04:12.271132
213,4,2288,2,2024-11-12 20:04:12.274752,2024-11-12 20:04:12.274758
214,4,13199,2,2024-11-12 20:04:12.278771,2024-11-12 20:04:12.278777
215,4,13200,2,2024-11-12 20:04:12.282428,2024-11-12 20:04:12.282434
216,4,2289,2,2024-11-12 20:04:12.286280,2024-11-12 20:04:12.286286
217,4,13202,2,2024-11-12 20:04:12.291225,2024-11-12 20:04:12.291233
218,4,13209,2,2024-11-12 20:04:12.295334,2024-11-12 20:04:12.295340
219,4,2296,2,2024-11-12 20:04:12.299198,2024-11-12 20:04:12.299204
220,4,13226,2,2024-11-12 20:04:12.303891,2024-11-12 20:04:12.303901
221,4,13227,2,2024-11-12 20:04:12.308877,2024-11-12 20:04:12.308887
222,4,2309,2,2024-11-12 20:04:12.313545,2024-11-12 20:04:12.313553
223,4,2310,2,2024-11-12 20:04:12.317936,2024-11-12 20:04:12.317945
224,4,2312,2,2024-11-12 20:04:12.323164,2024-11-12 20:04:12.323171
225,4,13233,2,2024-11-12 20:04:12.326988,2024-11-12 20:04:12.326994
226,4,2313,2,2024-11-12 20:04:12.330961,2024-11-12 20:04:12.330968
227,4,2314,2,2024-11-12 20:04:12.334706,2024-11-12 20:04:12.334712
228,4,13236,2,2024-11-12 20:04:12.338666,2024-11-12 20:04:12.338672
229,4,2315,2,2024-11-12 20:04:12.342360,2024-11-12 20:04:12.342366
230,4,13238,2,2024-11-12 20:04:12.346091,2024-11-12 20:04:12.346097
231,4,13239,2,2024-11-12 20:04:12.350120,2024-11-12 20:04:12.350126
232,4,2316,2,2024-11-12 20:04:12.353825,2024-11-12 20:04:12.353831
233,4,2317,2,2024-11-12 20:04:12.357738,2024-11-12 20:04:12.357744
234,4,2617,2,2024-11-12 20:04:12.361477,2024-11-12 20:04:12.361483
235,4,2618,2,2024-11-12 20:04:12.365187,2024-11-12 20:04:12.365193
236,4,2672,2,2024-11-12 20:04:12.369185,2024-11-12 20:04:12.369191
237,4,2676,2,2024-11-12 20:04:12.373015,2024-11-12 20:04:12.373022
238,4,2680,2,2024-11-12 20:04:12.377209,2024-11-12 20:04:12.377216
239,4,2705,2,2024-11-12 20:04:12.381413,2024-11-12 20:04:12.381423
240,4,2706,2,2024-11-12 20:04:12.386049,2024-11-12 20:04:12.386058
241,4,2707,2,2024-11-12 20:04:12.392204,2024-11-12 20:04:12.392216
242,4,2708,2,2024-11-12 20:04:12.397543,2024-11-12 20:04:12.397553
243,4,2711,2,2024-11-12 20:04:12.402527,2024-11-12 20:04:12.402536
244,4,2712,2,2024-11-12 20:04:12.406608,2024-11-12 20:04:12.406616
245,4,2713,2,2024-11-12 20:04:12.412003,2024-11-12 20:04:12.412013
246,4,2714,2,2024-11-12 20:04:12.417437,2024-11-12 20:04:12.417449
247,4,2715,2,2024-11-12 20:04:12.422148,2024-11-12 20:04:12.422156
248,4,2716,2,2024-11-12 20:04:12.427594,2024-11-12 20:04:12.427607
249,4,2717,2,2024-11-12 20:04:12.433754,2024-11-12 20:04:12.433766
250,4,2259,2,2024-11-12 20:04:12.438852,2024-11-12 20:04:12.438860
251,4,2260,2,2024-11-12 20:04:12.444271,2024-11-12 20:04:12.444285
252,4,2261,2,2024-11-12 20:04:12.452330,2024-11-12 20:04:12.452341
253,4,2262,2,2024-11-12 20:04:12.457580,2024-11-12 20:04:12.457591
254,4,2263,2,2024-11-12 20:04:12.464020,2024-11-12 20:04:12.464032
255,4,2264,2,2024-11-12 20:04:12.469709,2024-11-12 20:04:12.469719
256,4,2265,2,2024-11-12 20:04:12.475895,2024-11-12 20:04:12.475911
257,4,2266,2,2024-11-12 20:04:12.482686,2024-11-12 20:04:12.482701
258,4,2267,2,2024-11-12 20:04:12.488627,2024-11-12 20:04:12.488638
259,4,2268,2,2024-11-12 20:04:12.493899,2024-11-12 20:04:12.493910
260,4,2269,2,2024-11-12 20:04:12.498999,2024-11-12 20:04:12.499007
261,4,2270,2,2024-11-12 20:04:12.503512,2024-11-12 20:04:12.503520
262,4,2271,2,2024-11-12 20:04:12.508102,2024-11-12 20:04:12.508113
263,4,2272,2,2024-11-12 20:04:12.514911,2024-11-12 20:04:12.514924
264,4,2277,2,2024-11-12 20:04:12.520027,2024-11-12 20:04:12.520037
265,4,2278,2,2024-11-12 20:04:12.526716,2024-11-12 20:04:12.526730
266,4,2300,2,2024-11-12 20:04:12.531966,2024-11-12 20:04:12.531976
267,4,2301,2,2024-11-12 20:04:12.537939,2024-11-12 20:04:12.537951
268,4,13216,2,2024-11-12 20:04:12.543088,2024-11-12 20:04:12.543098
