id,nome,nome_normalizado,sigla,numero,created_at,updated_at
93,Departamento de Turismo,DEPARTAMENTODETURISMO,,258,2024-11-12 20:03:28.754998,2024-11-12 20:03:28.755004
94,Departamento de Literatura e Linguística,DEPARTAMENTODELITERATURAELINGUISTICA,,261,2024-11-12 20:03:28.756723,2024-11-12 20:03:28.756730
95,Técnico em Orientador Comunitário,TECNICOEMORIENTADORCOMUNITARIO,,2697,2024-11-12 20:03:28.758565,2024-11-12 20:03:28.758573
96,Técnico em Orientador Comunitário,TECNICOEMORIENTADORCOMUNITARIO,,2698,2024-11-12 20:03:28.760510,2024-11-12 20:03:28.760516
97,Núcleo de Controle Acadêmico - Ensino à Distância,NUCLEODECONTROLEACADEMICOENSINOADISTANCIA,,2699,2024-11-12 20:03:28.762113,2024-11-12 20:03:28.762119
98,Departamento de Direito Civil e Processual Civil,DEPARTAMENTODEDIREITOCIVILEPROCESSUALCIVIL,,281,2024-11-12 20:03:28.763831,2024-11-12 20:03:28.763837
99,Departamento de Direito Penal e Processual Penal,DEPARTAMENTODEDIREITOPENALEPROCESSUALPENAL,,282,2024-11-12 20:03:28.765220,2024-11-12 20:03:28.765226
100,Departamento de Direito Privado,DEPARTAMENTODEDIREITOPRIVADO,,283,2024-11-12 20:03:28.766966,2024-11-12 20:03:28.766972
101,Departamento de Direito Público,DEPARTAMENTODEDIREITOPUBLICO,,284,2024-11-12 20:03:28.768346,2024-11-12 20:03:28.768352
102,Coordenação do Curso de Tecnólogo em Informatica,COORDENACAODOCURSODETECNOLOGOEMINFORMATICA,,288,2024-11-12 20:03:28.769832,2024-11-12 20:03:28.769837
103,Coordenação da Câmara Curso de Saúde Coletiva,COORDENACAODACAMARACURSODESAUDECOLETIVA,,2895,2024-11-12 20:03:28.771186,2024-11-12 20:03:28.771191
104,Coordenação da Câmara Curso de Tecnologia em Gestão Imobiliária,COORDENACAODACAMARACURSODETECNOLOGIAEMGESTAOIMOBILIARIA,,2898,2024-11-12 20:03:28.772819,2024-11-12 20:03:28.772824
105,Setor de Educação Profissional e Tecnológica,SETORDEEDUCACAOPROFISSIONALETECNOLOGICA,,28,2024-11-12 20:03:28.774161,2024-11-12 20:03:28.774166
106,Coordenação da Câmara Curso de Artes,COORDENACAODACAMARACURSODEARTES,,2901,2024-11-12 20:03:28.775858,2024-11-12 20:03:28.775864
107,Coordenação da Câmara Curso de Tecnologia em Gestão do Turismo,COORDENACAODACAMARACURSODETECNOLOGIAEMGESTAODOTURISMO,,2902,2024-11-12 20:03:28.777224,2024-11-12 20:03:28.777231
108,Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Noturno.,CURSOSUPERIORDETECNOLOGIAEMANALISEEDESENVOLVIMENTODESISTEMASNOTURNO,,2919,2024-11-12 20:03:28.779076,2024-11-12 20:03:28.779082
109,Coordenação do Curso de Tecnologia em Negócios Imobiliários,COORDENACAODOCURSODETECNOLOGIAEMNEGOCIOSIMOBILIARIOS,,2924,2024-11-12 20:03:28.780490,2024-11-12 20:03:28.780496
110,Coordenação do Curso de Tecnologia em Produção Cênica,COORDENACAODOCURSODETECNOLOGIAEMPRODUCAOCENICA,,2925,2024-11-12 20:03:28.782357,2024-11-12 20:03:28.782363
111,Coordenação do Curso de Tecnologia em Secretariado,COORDENACAODOCURSODETECNOLOGIAEMSECRETARIADO,,2926,2024-11-12 20:03:28.783945,2024-11-12 20:03:28.783951
112,Coordenação do Curso de Tecnologia em Luteria,COORDENACAODOCURSODETECNOLOGIAEMLUTERIA,,2927,2024-11-12 20:03:28.785709,2024-11-12 20:03:28.785715
